qc_id,nome,geocodigo,hierarquia,icon_url
"108",Uberaba,"3170107",Capital Regional C,
"109",Belém,"1501402",Metrópole,
"110",Registro,"3542602",Centro Subregional B,
"111",Piracicaba,"3538709",Capital Regional C,
"112",São Carlos,"3548906",Centro Subregional A,
"113",Palmas,"1721000",Capital Regional B,
"114",Brasília,"5300108",Metrópole Nacional,
"115",Ribeirão Preto,"3543402",Capital Regional B,
"116",Rio Claro,"3543907",Centro Subregional A,
"117",Sorocaba,"3552205",Capital Regional C,
"118",Castanhal,"1502400",Centro Subregional A,
"119",Limeira,"3526902",Centro Subregional A,
"120",Araras,"3503307",Centro Subregional B,
"121",Franca,"3516200",Centro Subregional A,
"122",Imperatriz,"2105302",Capital Regional C,
"123",Campinas,"3509502",Capital Regional A,
"124",São João da Boa Vista,"3549102",Centro Subregional A,
"125",São Paulo,"3550308",Grande Metrópole Nacional,
"126",Patos de Minas,"3148004",Centro Subregional A,
"127",Passos,"3147907",Centro Subregional A,
"128",Bragança Paulista,"3507605",Centro Subregional B,
"129",Capanema,"1502202",Centro Subregional B,
"130",Poços de Caldas,"3151800",Centro Subregional A,
"131",Balsas,"2101400",Centro Subregional B,
"132",Santos,"3548500",Capital Regional C,
"133",São José dos Campos,"3549904",Capital Regional C,
"134",Alfenas,"3101607",Centro Subregional A,
"135",Pouso Alegre,"3152501",Capital Regional C,
"136",Bragança,"1501709",Centro Subregional B,
"137",Barreiras,"2903201",Capital Regional C,
"138",Itajubá,"3132404",Centro Subregional B,
"139",Varginha,"3170701",Capital Regional C,
"140",Guaratinguetá,"3518404",Centro Subregional B,
"141",Lavras,"3138203",Centro Subregional A,
"142",São Lourenço,"3163706",Centro Subregional B,
"143",Divinópolis,"3122306",Capital Regional C,
"144",Santa Inês,"2109908",Centro Subregional A,
"145",Resende,"3304201",Centro Subregional B,
"146",Angra dos Reis,"3300100",Centro Subregional B,
"147",Pinheiro,"2108603",Centro Subregional A,
"148",São João del Rei,"3162500",Centro Subregional B,
"149",Bacabal,"2101202",Centro Subregional A,
"150",Volta Redonda,"3306305",Capital Regional C,
"151",Pedreiras,"2108207",Centro Subregional B,
"152",Barbacena,"3105608",Centro Subregional A,
"153",Belo Horizonte,"3106200",Metrópole,
"154",Montes Claros,"3143302",Capital Regional B,
"155",Presidente Dutra,"2109106",Centro Subregional B,
"156",Conselheiro Lafaiete,"3118304",Centro Subregional B,
"157",São Luís,"2111300",Capital Regional A,
"158",Juiz de Fora,"3136702",Capital Regional B,
"159",Janaúba,"3135100",Centro Subregional B,
"160",Rio de Janeiro,"3304557",Metrópole Nacional,
"161",Bom Jesus da Lapa,"2903904",Centro Subregional B,
"162",Caxias,"2103000",Centro Subregional A,
"163",Teresópolis,"3305802",Centro Subregional B,
"164",Ubá,"3169901",Centro Subregional A,
"165",Chapadinha,"2103208",Centro Subregional B,
"166",Ponte Nova,"3152105",Centro Subregional A,
"167",Viçosa,"3171303",Centro Subregional B,
"168",Cataguases,"3115300",Centro Subregional B,
"169",Nova Friburgo,"3303401",Centro Subregional A,
"170",Floriano,"2203909",Centro Subregional A,
"171",Guanambi,"2911709",Centro Subregional A,
"172",Ipatinga,"3131307",Capital Regional C,
"173",Muriaé,"3143906",Centro Subregional A,
"174",Caratinga,"3113404",Centro Subregional B,
"175",São Raimundo Nonato,"2210607",Centro Subregional B,
"176",Cabo Frio,"3300704",Centro Subregional A,
"177",Teresina,"2211001",Capital Regional A,
"178",Itaperuna,"3302205",Centro Subregional A,
"179",Governador Valadares,"3127701",Capital Regional C,
"180",Manhuaçu,"3139409",Centro Subregional A,
"181",Campos dos Goytacazes,"3301009",Capital Regional C,
"182",Macaé,"3302403",Centro Subregional A,
"183",Campo Maior,"2202208",Centro Subregional B,
"184",Brumado,"2904605",Centro Subregional B,
"185",Teófilo Otoni,"3168606",Capital Regional C,
"186",Cachoeiro de Itapemirim,"3201209",Capital Regional C,
"187",Irecê,"2914604",Centro Subregional A,
"188",Parnaíba,"2207702",Centro Subregional A,
"189",Picos,"2208007",Centro Subregional A,
"190",Vitória da Conquista,"2933307",Capital Regional B,
"191",Colatina,"3201506",Centro Subregional A,
"192",Linhares,"3203205",Centro Subregional B,
"193",Vitória,"3205309",Capital Regional A,
"194",Crateús,"2304103",Centro Subregional A,
"195",Jacobina,"2917508",Centro Subregional A,
"196",São Mateus,"3204906",Centro Subregional A,
"197",Petrolina,"2611101",Capital Regional C,
"198",Jequié,"2918001",Centro Subregional A,
"199",Itaberaba,"2914703",Centro Subregional B,
"200",Araripina,"2601102",Centro Subregional B,
"201",Sobral,"2312908",Capital Regional C,
"202",Teixeira de Freitas,"2931350",Centro Subregional A,
"203",Senhor do Bonfim,"2930105",Centro Subregional B,
"204",Eunápolis,"2910727",Centro Subregional B,
"205",Ilhéus,"2913606",Capital Regional B,
"206",Valença,"2932903",Centro Subregional B,
"207",Itapipoca,"2306405",Centro Subregional B,
"208",Santo Antônio de Jesus,"2928703",Centro Subregional A,
"209",Feira de Santana,"2910800",Capital Regional B,
"210",Cruz das Almas,"2909802",Centro Subregional B,
"211",Iguatu,"2305506",Centro Subregional A,
"212",Juazeiro do Norte,"2307304",Capital Regional C,
"213",Quixadá,"2311306",Centro Subregional A,
"214",Salvador,"2927408",Metrópole,
"215",Alagoinhas,"2900702",Centro Subregional B,
"216",Ribeira do Pombal,"2926608",Centro Subregional B,
"217",Cajazeiras,"2503704",Centro Subregional A,
"218",Serra Talhada,"2613909",Centro Subregional A,
"219",Paulo Afonso,"2924009",Centro Subregional A,
"220",Fortaleza,"2304400",Metrópole,
"221",Sousa,"2516201",Centro Subregional A,
"222",Itaporanga,"2507002",Centro Subregional B,
"223",Pau dos Ferros,"2409407",Centro Subregional A,
"224",Afogados da Ingazeira,"2600104",Centro Subregional B,
"225",Itabaiana,"2802908",Centro Subregional B,
"226",Santana do Ipanema,"2708006",Centro Subregional B,
"227",Mossoró,"2408003",Capital Regional C,
"228",Patos,"2510808",Centro Subregional A,
"229",Aracaju,"2800308",Capital Regional A,
"230",Caicó,"2402006",Centro Subregional A,
"231",Arcoverde,"2601201",Centro Subregional B,
"232",Açu,"2400208",Centro Subregional B,
"233",Arapiraca,"2700300",Capital Regional C,
"234",Garanhuns,"2606002",Centro Subregional A,
"235",Currais Novos,"2403103",Centro Subregional B,
"236",Caruaru,"2604106",Capital Regional C,
"237",Campina Grande,"2504009",Capital Regional B,
"238",Maceió,"2704302",Capital Regional A,
"239",Palmares,"2610004",Centro Subregional B,
"240",Guarabira,"2506301",Centro Subregional A,
"241",Vitória de Santo Antão,"2616407",Centro Subregional B,
"242",Natal,"2408102",Capital Regional A,
"243",Recife,"2611606",Metrópole,
"244",João Pessoa,"2507507",Capital Regional A,
"245",Boa Vista,"1400100",Capital Regional C,
"28",Cascavel,"4104808",Capital Regional B,./0.png
"66",Araçatuba,"3502804",Capital Regional C,./0.png
"85",Blumenau,"4202404",Capital Regional B,./0.png
"87",Bauru,"3506003",Capital Regional C,./0.png
